,Company,Open,High,Low,Close,Volume,Body_Ratio,Clasificación,Daily_Return
2022-08-22,Apple Inc.,168.68926440593563,168.8582600194494,166.1542998656266,166.58177185058594,69026800.0,0.7794096197646118,Fuerte Dirección Bajista,0.0
2022-08-23,Apple Inc.,166.09464984570593,167.71504179740876,165.66717787694483,166.24375915527344,54147100.0,0.07281211806970432,Indecisión,-0.0020291097372626687
2022-08-24,Apple Inc.,166.3332543947156,167.11858877482848,165.26955733116827,166.54200744628906,53841500.0,0.11289859471520644,Indecisión,0.001794042029193088
2022-08-25,Apple Inc.,167.7846543262627,169.136634619791,167.35719744161653,169.02728271484375,51218200.0,0.6983266416046513,Fuerte Volatilidad,0.014922813208890995
2022-08-26,Apple Inc.,169.56406899602922,170.04123394395307,162.5954008332736,162.65504455566406,78961000.0,0.9279048210811526,Fuerte Dirección Bajista,-0.03769946518000844
2022-08-27,Apple Inc.,166.44258397503518,167.3405870730119,161.35609086853202,161.91278584798178,77078666.66666667,0.7569222157184217,Fuerte Dirección Bajista,-0.0045633918684167
2022-08-28,Apple Inc.,163.32109895404113,164.63994020207076,160.11678090379047,161.17052714029947,75196333.33333333,0.47545789832326113,Fuerte Volatilidad,-0.004584311879972325
2022-08-29,Apple Inc.,160.1996139330471,161.9392933311296,158.8774709390489,160.4282684326172,73314000.0,0.0746792172405248,Indecisión,-0.004605424582598383
2022-08-30,Apple Inc.,161.17386633770764,161.60132319310372,156.78987004226948,157.9728546142578,77906200.0,0.6652900117908895,Fuerte Volatilidad,-0.015305368825262233
2022-08-31,Apple Inc.,159.3645896376838,159.63300159412105,156.21328613172787,156.29281616210938,87991100.0,0.8982541118858846,Fuerte Dirección Bajista,-0.010634981916676778
2022-09-01,Apple Inc.,155.7162348928829,157.48573635551094,153.7578515041088,157.02845764160156,74229900.0,0.35200195312500016,Fuerte Volatilidad,0.004706815690934674
2022-09-02,Apple Inc.,158.80789533396975,159.41429854575298,154.05608597034484,154.89112854003906,76957800.0,0.7309838381379153,Fuerte Dirección Bajista,-0.01361109402501226
2022-09-03,Apple Inc.,157.99273261274,158.60161972039833,153.7379745445848,154.57301712036133,76147050.0,0.7031177992557152,Fuerte Dirección Bajista,-0.002053774303771738
2022-09-04,Apple Inc.,157.1775698915103,157.78894089504368,153.41986311882476,154.2549057006836,75336300.0,0.6689430448537445,Fuerte Volatilidad,-0.002058000973287788
2022-09-05,Apple Inc.,156.36240717028056,156.97626206968903,153.10175169306476,153.93679428100586,74525550.0,0.6260437199778662,Fuerte Volatilidad,-0.0020622450756606625
2022-09-06,Apple Inc.,155.54724444905082,156.16358324433438,152.78364026730472,153.61868286132812,73714800.0,0.5705899776503168,Fuerte Volatilidad,-0.0020665067189656883
2022-09-07,Apple Inc.,153.90696114804027,155.74604172932004,152.70409041112038,155.0402374267578,87449600.0,0.372549117383068,Fuerte Volatilidad,0.00925378696751955
2022-09-08,Apple Inc.,153.7280187035282,155.4378763139133,151.77957101885636,153.54908752441406,84923800.0,0.04891094774290694,Indecisión,-0.009617825198753205
2022-09-09,Apple Inc.,154.5531361311841,156.88928336456686,153.83738102856478,156.44192504882812,68028800.0,0.6188890435197544,Fuerte Volatilidad,0.018839822307339382
2022-09-10,Apple Inc.,155.9183644679146,159.0232816414799,155.34510004513615,158.45000712076822,80337866.66666667,0.6882864770380409,Fuerte Volatilidad,0.012835958591747909
2022-09-11,Apple Inc.,157.28359280464514,161.15727991839296,156.85281906170755,160.45808919270834,92646933.33333333,0.7374898956585427,Fuerte Dirección Alcista,0.012673284832417808
2022-09-12,Apple Inc.,158.64882114137566,163.291278195306,158.36053807827892,162.46617126464844,104956000.0,0.7741941438143343,Fuerte Dirección Alcista,0.01251468269404854
2022-09-13,Apple Inc.,158.95699854403776,159.59322359676912,152.46550982562525,152.9327392578125,122656600.0,0.8451881598576693,Fuerte Dirección Bajista,-0.05867948959852387
2022-09-14,Apple Inc.,153.87713588335606,156.17352564761967,152.70410208796778,154.39407348632812,87965400.0,0.14899812435237283,Indecisión,0.009555404785185573
2022-09-15,Apple Inc.,153.73795769473188,154.3244897443255,150.4872531846326,151.47140502929688,90481100.0,0.5906731654866767,Fuerte Volatilidad,-0.01892992646048719
2022-09-16,Apple Inc.,150.31825077946388,150.4574245274154,147.49498805575993,149.81124877929688,162278800.0,0.17114358569980784,Indecisión,-0.010960195752319768
2022-09-17,Apple Inc.,149.68864925695067,151.52111118173286,147.73688976227828,151.0638173421224,135343933.33333334,0.3633952490470124,Fuerte Volatilidad,0.008360978050926171
2022-09-18,Apple Inc.,149.05904773443746,152.58479783605029,147.9787914687966,152.3163859049479,108409066.66666666,0.7071935882825598,Fuerte Dirección Alcista,0.008291651732782235
2022-09-19,Apple Inc.,148.42944621192424,153.64848449036774,148.22069317531495,153.56895446777344,81474200.0,0.9468875934113195,Fuerte Dirección Alcista,0.008223465619826342
2022-09-20,Apple Inc.,152.49534162573696,157.14774995161378,152.17723666304605,155.97470092773438,107689800.0,0.7000000000000017,Fuerte Dirección Alcista,0.015665578165186878
2022-09-21,Apple Inc.,156.4120924418145,157.80384512079485,152.69415859227828,152.81344604492188,101696800.0,0.7042792893084554,Fuerte Dirección Bajista,-0.020267741268355843
2022-09-22,Apple Inc.,151.4813710860203,153.55904204469962,150.02003893432834,151.83924865722656,86652500.0,0.10112383630223147,Indecisión,-0.0063750763621215345
2022-09-23,Apple Inc.,150.2983590270458,150.57670651284735,147.68386460455227,149.54283142089844,96029900.0,0.26117141209165806,Indecisión,-0.01512400289540572
2022-09-24,Apple Inc.,149.79137429708018,151.3388601075279,148.0417492487254,149.65550740559897,95133066.66666667,0.041207862671187624,Indecisión,0.0007534696489956971
2022-09-25,Apple Inc.,149.28438956711457,152.10101370220846,148.39963389289852,149.76818339029947,94236233.33333333,0.13070634414982982,Indecisión,0.0007529023599186502
2022-09-26,Apple Inc.,148.77740483714896,152.863167296889,148.75751853707166,149.880859375,93339400.0,0.2687649632016081,Indecisión,0.0007523359244259176
2022-09-27,Apple Inc.,151.83923696514196,153.80755587080827,149.06568220966486,150.86500549316406,84442700.0,0.20545285294315152,Indecisión,0.006566189453863114
2022-09-28,Apple Inc.,146.76930666824035,149.7516144562719,143.98581636565055,148.95632934570312,146691400.0,0.37930961908294825,Fuerte Volatilidad,-0.012651549915248084
2022-09-29,Apple Inc.,145.2384018641143,145.85474064729044,139.8503522033331,141.63973999023438,128138200.0,0.5993386183236585,Fuerte Volatilidad,-0.04911902292173265
2022-09-30,Apple Inc.,140.44681714231157,142.25609119434162,137.18616175752106,137.38497924804688,124925300.0,0.6039212049043489,Fuerte Volatilidad,-0.030039314831281527
2022-10-01,Apple Inc.,139.42951937462033,142.24614845293854,137.0834365889946,138.7932891845703,121387433.33333333,0.1232356573089826,Indecisión,0.010250829051557053
