fechas,Cripto,prices2,market_caps2,total_volumes2,Open,High,Low,Close,Ranking,Body_Ratio,Clasificación,Daily_Return
2022-09-01,bitcoin,20023.55444491251,383348414528.78253,27825786159.855602,20048.44,20208.37,19565.66,20131.46,1,0.12917178820930209,Indecisión,0.004061841334821459
2022-09-02,bitcoin,20153.975977982507,385027707310.6654,25616737335.88055,20132.64,20441.26,19755.29,19951.86,1,0.2635392218318578,Indecisión,-0.00892135990136822
2022-09-03,bitcoin,19941.451370047158,381788074511.76855,24078042298.340073,19950.98,20055.93,19652.72,19831.9,1,0.2953299769350918,Indecisión,-0.006012472020152426
2022-09-04,bitcoin,19814.5642451146,379422449024.2574,20048153187.39969,19832.45,20029.23,19583.1,20000.3,1,0.3762356263869235,Fuerte Volatilidad,0.00849136996455191
2022-09-05,bitcoin,19980.013222242276,382421043401.0045,21537524477.36904,20000.3,20057.27,19633.83,19796.84,1,0.4804931040997538,Fuerte Volatilidad,-0.010172847407288854
2022-09-06,bitcoin,19785.73350185514,378685143698.17633,23522961655.00036,19795.34,20180.0,18649.51,18790.61,1,0.6564760305523059,Fuerte Volatilidad,-0.05082780888262972
2022-09-07,bitcoin,18859.500087680277,361210437263.86273,39940310406.47586,18790.61,19464.06,18510.77,19292.84,1,0.5268386325252538,Fuerte Volatilidad,0.026727711340930327
2022-09-08,bitcoin,19280.62547645678,369340091982.8708,30517907004.082462,19292.85,19458.25,19012.0,19319.77,1,0.060324929971993034,Indecisión,0.0013958546279344564
2022-09-09,bitcoin,19322.77774937157,369723445425.44885,28936941008.358917,19320.54,21597.22,19291.75,21360.11,1,0.8846655996391186,Fuerte Dirección Alcista,0.10560891770450676
2022-09-10,bitcoin,21359.58252557909,408976281844.7646,42487059054.97593,21361.62,21810.8,21111.13,21648.34,1,0.40979318821730515,Fuerte Volatilidad,0.013493844366906371
2022-09-11,bitcoin,21707.38731931814,415974687298.0947,35941349745.24438,21647.21,21860.0,21350.0,21826.87,1,0.3522745098039213,Fuerte Volatilidad,0.008246821696259232
2022-09-12,bitcoin,21739.80437979554,416073628622.09485,31266252145.35619,21826.87,22488.0,21538.51,22395.74,1,0.5991321656889506,Fuerte Volatilidad,0.02606282989727804
2022-09-13,bitcoin,22339.67050262336,427473787888.3761,44006486689.44507,22395.44,22799.0,19860.0,20173.57,1,0.7559952364749911,Fuerte Dirección Bajista,-0.0992228879242214
2022-09-14,bitcoin,20184.96749189655,386529657258.8565,46489890914.82466,20173.62,20541.48,19617.62,20226.71,1,0.05746541683804918,Indecisión,0.0026341396193136912
2022-09-15,bitcoin,20255.922978327133,387486232249.80023,35789015870.392235,20227.17,20330.24,19497.0,19701.88,1,0.6304186068839664,Fuerte Volatilidad,-0.02594737354715615
2022-09-16,bitcoin,19702.169889811717,377719382182.44714,33715957206.68328,19701.88,19890.0,19320.01,19803.3,1,0.1779329461920349,Indecisión,0.005147732094602064
2022-09-17,bitcoin,19764.411712043777,377988702161.6817,30187737709.58007,19803.3,20189.0,19748.08,20113.62,1,0.7038011430645036,Fuerte Dirección Alcista,0.015670115586796207
2022-09-18,bitcoin,20131.675305714027,385486747327.04944,23394494073.784782,20112.61,20117.26,19335.62,19416.18,1,0.8909856199785078,Fuerte Dirección Bajista,-0.03467501126102601
2022-09-19,bitcoin,19437.157867982634,372598380208.27094,28689764413.699097,19417.45,19686.2,18232.56,19537.02,1,0.08225557909798834,Indecisión,0.006223675305853105
2022-09-20,bitcoin,19570.386709523507,374524246937.4287,39507938864.87854,19537.02,19634.62,18711.87,18875.0,1,0.7174424275264161,Fuerte Dirección Bajista,-0.03388541343562124
2022-09-21,bitcoin,18869.928809390534,361980678159.1343,33890591849.676514,18874.31,19956.0,18125.98,18461.36,1,0.22565327154894516,Indecisión,-0.021914701986754936
2022-09-22,bitcoin,18539.63523831258,355194467885.9514,41059997264.96848,18461.36,19550.17,18356.39,19401.63,1,0.7876409388664589,Fuerte Dirección Alcista,0.050931784007245406
2022-09-23,bitcoin,19464.322663348466,372075639498.16974,37660914389.8923,19401.63,19500.0,18531.42,19289.91,1,0.11534411199900985,Indecisión,-0.00575827907242854
2022-09-24,bitcoin,19291.904802452067,370913140447.51636,35506139423.901344,19288.57,19316.14,18805.34,18920.5,1,0.7205755677368838,Fuerte Dirección Bajista,-0.019150426310957425
2022-09-25,bitcoin,18939.970580499372,363168779956.3335,24644354421.61794,18921.99,19180.21,18629.2,18807.38,1,0.20799985481207403,Indecisión,-0.005978700351470523
2022-09-26,bitcoin,18809.41143933244,360256894978.40894,21516374222.675316,18809.13,19318.96,18680.72,19227.82,1,0.6560071446477814,Fuerte Volatilidad,0.022355054239346472
2022-09-27,bitcoin,19219.727780656474,367613056759.2221,42560193944.41844,19226.68,20385.86,18816.32,19079.13,1,0.09400843559259349,Indecisión,-0.007733065942992945
2022-09-28,bitcoin,19116.331160710437,366383164263.7157,52482615483.86207,19078.1,19790.0,18471.28,19412.82,1,0.2538218878912892,Indecisión,0.017489791201171112
