,Cripto,fechas,pricesnew,market_capsnew,total_volumesnew
54,bitcoin,2022-10-09,19418.037989243952,372391945609.07526,12996183216.30484
55,bitcoin,2022-10-10,19448.14900175761,372264710552.3351,14404623229.04686
56,bitcoin,2022-10-11,19142.694767392895,367207056773.2261,23743487600.53748
57,bitcoin,2022-10-12,19058.628039738272,365118514776.26794,25102717820.99086
58,bitcoin,2022-10-13,19153.039779986986,367301644901.367,22339104401.384174
59,bitcoin,2022-10-14,19383.9432200889,371647189087.47595,37194496437.923996
60,bitcoin,2022-10-15,19198.107144951755,367584653730.75476,34806651159.13548
61,bitcoin,2022-10-16,19072.780513358884,365870425566.52997,13103099352.405506
62,bitcoin,2022-10-17,19272.921847772006,369552982160.53754,15683330320.159586
63,bitcoin,2022-10-18,19557.895548868444,375052275829.7958,23713928577.519844
64,bitcoin,2022-10-19,19348.029368810374,371196833238.99286,25848175158.687187
65,bitcoin,2022-10-20,19134.242664465204,367085331987.69183,23047051893.294765
66,bitcoin,2022-10-21,19031.15987195947,365098952754.63934,25712511231.935688
67,bitcoin,2022-10-22,19173.28046885863,367999082249.1525,30297335038.197
68,bitcoin,2022-10-23,19203.86547117714,368484939423.55475,13362526957.65784
69,bitcoin,2022-10-24,19574.824231840797,375197423662.3941,19928822961.41621
70,bitcoin,2022-10-25,19316.94062294213,370622833880.7626,28657172008.9177
71,bitcoin,2022-10-26,20095.152230674925,385476931983.84595,39846253138.59686
72,bitcoin,2022-10-27,20774.247496426033,398674628646.93066,50667020407.51415
73,bitcoin,2022-10-28,20278.36623205219,389238872375.6226,41829789298.17936
74,bitcoin,2022-10-29,20591.241208098614,395201306734.5831,36165609164.5681
75,bitcoin,2022-10-30,20800.70708772471,399135164712.3964,32806216910.570454
76,bitcoin,2022-10-31,20623.871497040946,395548335410.141,24707906148.749344
77,bitcoin,2022-11-01,20494.60120983709,393311097043.5727,37290619694.72375
78,bitcoin,2022-11-02,20489.646203160763,393218202887.5868,32262771910.727066
79,bitcoin,2022-11-03,20162.980904822525,387015867490.0914,44539856162.44828
80,bitcoin,2022-11-04,20210.912417111318,387756249891.6283,36562782563.979164
81,bitcoin,2022-11-05,21150.315583912397,405987599945.2726,33773463079.332672
82,bitcoin,2022-11-06,21282.985109422694,408892506459.0742,31061573100.604958
83,bitcoin,2022-11-07,20906.99792695512,401869336200.07385,50602704770.812515
84,bitcoin,2022-11-08,20597.755017060834,395168506455.3059,91750982446.38734
85,bitcoin,2022-11-09,18562.353215089643,356871594631.61395,92144963385.0274
86,bitcoin,2022-11-10,15742.444335961438,301963847693.52637,74978675390.59279
